trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,FALSE,"{'a': 0.01, 'e': 0.1901389801015205}",25,4,22.7148433,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,FALSE,"{'a': 0.01, 'e': 0.1882470656387468}",25,0,26.73156346,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
168,FALSE,"{'a': 0.01, 'e': 0.18637397603940997}",25,1,18.52289011,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
169,FALSE,"{'a': 0.01, 'e': 0.18451952399298926}",35,12,17.58766919,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,FALSE,"{'a': 0.01, 'e': 0.18268352405273466}",25,0,16.99074878,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
171,FALSE,"{'a': 0.01, 'e': 0.1808657926171221}",20,10,-8.330376983,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
172,FALSE,"{'a': 0.01, 'e': 0.17906614791149322}",25,8,-22.08131008,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
173,FALSE,"{'a': 0.01, 'e': 0.17728440996987782}",20,0,11.56328664,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
174,FALSE,"{'a': 0.01, 'e': 0.17552040061699686}",20,9,19.63431883,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,FALSE,"{'a': 0.01, 'e': 0.17377394345044514}",20,10,-7.251636191,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
176,FALSE,"{'a': 0.01, 'e': 0.17204486382305054}",20,3,-12.63453538,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
177,FALSE,"{'a': 0.01, 'e': 0.17033298882540943}",20,10,18.23208472,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,FALSE,"{'a': 0.01, 'e': 0.1686381472685955}",35,18,-10.58293517,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,FALSE,"{'a': 0.01, 'e': 0.1669601696670407}",30,1,-11.56448944,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
180,FALSE,"{'a': 0.01, 'e': 0.16529888822158653}",20,8,-19.33951483,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
